"","Year","Category","value"
"1","2020","Revenue",100
"2","2020","RecurringOI",100
"3","2020","Workforce",100
"4","2019","Revenue",107.732039442792
"5","2019","RecurringOI",118.071680969207
"6","2019","Workforce",92.8734939759036
"7","2018","Revenue",93.3792455783378
"8","2018","RecurringOI",104.745078243311
"9","2018","Workforce",86.0481927710843
"10","2017","Revenue",86.8524025669119
"11","2017","RecurringOI",97.0217062089854
"12","2017","Workforce",81.2228915662651
"13","2016","Revenue",81.42119267491
"14","2016","RecurringOI",85.6638061585058
"15","2016","Workforce",77.3132530120482
