"","Country","Year","Revenue","Quarter","Region"
"1","France","2020",168.9,"Q1","Europe"
"2","France","2019",184.8,"Q1","Europe"
"3","Europe (excl. France)","2020",234.7,"Q1","Europe"
"4","Europe (excl. France)","2019",261.6,"Q1","Europe"
"5","Japan","2020",213.6,"Q1","Asia"
"6","Japan","2019",204.2,"Q1","Asia"
"7","Asia-Pacific (excl. Japan)","2020",600.9,"Q1","Asia"
"8","Asia-Pacific (excl. Japan)","2019",655.9,"Q1","Asia"
"9","Americas","2020",258.5,"Q1","Americas"
"10","Americas","2019",269.7,"Q1","Americas"
"11","Other","2020",29,"Q1","Other"
"12","Other","2019",33.5,"Q1","Other"
"13","France","2020",83.4,"Q2","Europe"
"14","France","2019",221,"Q2","Europe"
"15","Europe (excl. France)","2020",114.3,"Q2","Europe"
"16","Europe (excl. France)","2019",283,"Q2","Europe"
"17","Japan","2020",108.6,"Q2","Asia"
"18","Japan","2019",196.5,"Q2","Asia"
"19","Asia-Pacific (excl. Japan)","2020",582.9,"Q2","Asia"
"20","Asia-Pacific (excl. Japan)","2019",643.4,"Q2","Asia"
"21","Americas","2020",78.3,"Q2","Americas"
"22","Americas","2019",299.6,"Q2","Americas"
"23","Other","2020",15.1,"Q2","Other"
"24","Other","2019",31.1,"Q2","Other"
"25","France","2020",167.8,"Q3","Europe"
"26","France","2019",217.5,"Q3","Europe"
"27","Europe (excl. France)","2020",280.4,"Q3","Europe"
"28","Europe (excl. France)","2019",313.9,"Q3","Europe"
"29","Japan","2020",244.3,"Q3","Asia"
"30","Japan","2019",226,"Q3","Asia"
"31","Asia-Pacific (excl. Japan)","2020",810.8,"Q3","Asia"
"32","Asia-Pacific (excl. Japan)","2019",647.5,"Q3","Asia"
"33","Americas","2020",269.8,"Q3","Americas"
"34","Americas","2019",297.5,"Q3","Americas"
"35","Other","2020",27.2,"Q3","Other"
"36","Other","2019",25.5,"Q3","Other"
"37","France","2020",199.6,"Q4","Europe"
"38","France","2019",244,"Q4","Europe"
"39","Europe (excl. France)","2020",324.1,"Q4","Europe"
"40","Europe (excl. France)","2019",343.4,"Q4","Europe"
"41","Japan","2020",267.3,"Q4","Asia"
"42","Japan","2019",237.3,"Q4","Asia"
"43","Asia-Pacific (excl. Japan)","2020",920.8,"Q4","Asia"
"44","Asia-Pacific (excl. Japan)","2019",642.7,"Q4","Asia"
"45","Americas","2020",352.5,"Q4","Americas"
"46","Americas","2019",374,"Q4","Americas"
"47","Other","2020",36.8,"Q4","Other"
"48","Other","2019",29.9,"Q4","Other"
