"","Country","number.of.stores","new"
"1","Germany",15,0
"2","Netherlands",3,0
"3","Poland",1,0
"4","UK",9,0
"5","Portugal",1,0
"6","Austria",2,0
"7","Monaco",1,0
"8","Belgium",3,0
"9","Greece",1,0
"10","Czech Republic",1,0
"11","Ireland",1,0
"12","Denmark",2,0
"13","Russia",3,1
"14","Italy",15,0
"15","Spain",5,1
"16","Sweden",1,1
"17","Switzerland",11,0
"18","France",29,0
"19","Luxembourg",1,0
"20","Norway",1,0
"21","Turkey",4,0
"22","Argentina",1,0
"23","Chile",1,0
"24","Brazil",3,0
"25","Canada",5,0
"26","Mexico",7,0
"27","Panama",1,0
"28","South Korea",18,1
"29","India",2,0
"30","Indonesia",2,0
"31","Japan",36,2
"32","Kazakhstan",1,0
"33","Taiwan",9,1
"34","Malaysia",3,0
"35","Thailand",5,0
"36","Philippines",1,0
"37","Vietnam",2,0
"38","Singapore",6,0
"39","Bahrain",1,0
"40","Kuwait",1,1
"41","Qatar",2,0
"42","United Arab Emirates",5,1
"43","Lebanon",1,0
"44","Australia",6,0
"45","Guam",1,0
"46","China",39,3
"47","USA",37,2
