"","category","31/12/2020","31/12/2019"
"1","Goodwill","42.4","16.2"
"2","Intangible assets","221.3","184.1"
"3","Right-of-use assets","1,446.1","954.3"
"4","Property, plant and equipment","1,646.1","1,541.8"
"5","Investment property","73.3","78.0"
"6","Financial assets","367.7","357.4"
"7","Investments in associates","48.8","79.3"
"8","Loans and deposits","55.9","58.1"
"9","Deferred tax assets","475.2","510.8"
"10","Other non-current assets","23.9","10.5"
"11","Non-current assets","4,400.8","3,790.6"
"12","Inventories and work-in-progress","1,289.4","1,132.6"
"13","Trade and other receivables","249.7","317.9"
"14","Current tax receivables","63.5","20.7"
"15","Other assets","193.1","198.6"
"16","Financial derivatives","121.4","36.5"
"17","Cash and cash equivalents","4,732.7","4,384.2"
"18","Current assets","6,649.7","6,090.5"
"19","TOTAL ASSETS","11,050.5","9,881.1"
