"","Category","2019","2018 restated"
"1","Revenue","6,883.4","5,966.1"
"2","Cost of sales","(2,124.9)","(1,791.8)"
"3","Gross margin","4,758.5","4,174.3"
"4","Selling, marketing and administrative expenses","(1,815.7)","(1,562.3)"
"5","Other income and expenses","(604.0)","(536.7)"
"6","Recurring operating income","2,338.9","2,075.3"
"7","Other non-recurring income and expenses","-","52.7"
"8","Operating income","2,338.9","2,128.0"
"9","Net financial income","(68.6)","(61.8)"
"10","Net income before tax","2,270.3","2,066.2"
"11","Income tax","(751.0)","(672.2)"
"12","Net income from associates","15.9","16.6"
"13","CONSOLIDATED NET INCOME","1,535.3","1,410.6"
"14","Net income attributable to non-controlling interests","(7.0)","(5.1)"
"15","NET INCOME ATTRIBUTABLE TO OWNERS OF THE PARENT","1,528.2","1,405.5"
"16","Earnings per share in euros","14.66","13.48"
"17","Diluted earnings per share in euros","14.55","13.40"
