"","rownames","H12020","H12019"
"1","Revenue","2,488","3,284"
"2","Growth at current exchange rates vs. n-1","-24.2%","15.1%"
"3","Growth at constant exchange rates vs. n-1 (1)","-24.9%","12.0%"
"4","Recurring operating income","535","1,144"
"5","As a % of revenue","21.5%","34.8%"
"6","Operating income","535","1,144"
"7","As a % of revenue","21.5%","34.8%"
"8","Net profit – Group share","335","754"
"9","As a % of revenue","13.5%","23.0%"
"10","Operating cash flows","634","971"
"11","Investments (excluding financial investments)","162","170"
"12","Adjusted free cash flow","27","618"
"13","Equity – Group share","6,340","5,763"
"14","IFRS net cash position (4)","3,742","3,532"
"15","Restated net cash position","3,922","3,740"
"16","Workforce (number of employees)","15,698","14,751"
